Action_0,Action_1,Action_2,Old0,Old1,Old2,Old3,Old4,Old5,Old6,Old7,Old8,Old9,Old10,Observation_0,Observation_1,Observation_2,Observation_3,Observation_4,Observation_5,Observation_6,Observation_7,Observation_8,Observation_9,Observation_10,Done,Reward
-0.4162484,1.0,1.0,1.2463001,-0.002011546,-0.0023263227,0.0018533813,0.0040372442,-3.1331554e-05,0.0007989574,0.0032180417,7.087458e-05,0.0023345253,0.0023700343,1.2459031,-0.0049451473,-0.0115324855,0.0048589497,0.014864337,0.19871366,-0.0824788,-0.54791987,-1.6247891,0.38798916,2.155787,False,1.0995711
-0.27520338,1.0,1.0,1.2459031,-0.0049451473,-0.0115324855,0.0048589497,0.014864337,0.19871366,-0.0824788,-0.54791987,-1.6247891,0.38798916,2.155787,1.2446811,-0.010077596,-0.026048379,0.005312544,0.04138215,0.5327357,-0.19774605,-0.6886182,-1.9283112,-0.08992554,3.929417,False,1.4089469
-0.13213335,1.0,1.0,1.2446811,-0.010077596,-0.026048379,0.005312544,0.04138215,0.5327357,-0.19774605,-0.6886182,-1.9283112,-0.08992554,3.929417,1.2425549,-0.01483647,-0.04186767,0.0041423202,0.07897182,0.68380404,-0.30435333,-0.534434,-2.054277,-0.091568716,5.0985365,False,1.6425824
-0.046863057,1.0,1.0,1.2425549,-0.01483647,-0.04186767,0.0041423202,0.07897182,0.68380404,-0.30435333,-0.534434,-2.054277,-0.091568716,5.0985365,1.2396827,-0.017598944,-0.0582711,0.0042252536,0.12413767,0.7062047,-0.39166978,-0.23777929,-2.0422845,0.06702996,5.9486756,False,1.6950042
-0.019503623,1.0,1.0,1.2396827,-0.017598944,-0.0582711,0.0042252536,0.12413767,0.7062047,-0.39166978,-0.23777929,-2.0422845,0.06702996,5.9486756,1.2361308,-0.018087186,-0.07370614,0.004774068,0.17528597,0.77059877,-0.4774334,0.034304626,-1.8548714,0.05576016,6.6415544,False,1.7392602
-0.046839558,1.0,1.0,1.2361308,-0.018087186,-0.07370614,0.004774068,0.17528597,0.77059877,-0.4774334,0.034304626,-1.8548714,0.05576016,6.6415544,1.2318718,-0.016968096,-0.0879776,0.005085608,0.23135594,0.8309704,-0.5671388,0.19856414,-1.7426202,0.026173115,7.215675,False,1.8087177
0.0306724,1.0,1.0,1.2318718,-0.016968096,-0.0879776,0.005085608,0.23135594,0.8309704,-0.5671388,0.19856414,-1.7426202,0.026173115,7.215675,1.2271258,-0.014149214,-0.100483574,0.0051311967,0.28858927,0.8558725,-0.5551343,0.4324295,-1.4653682,0.03879513,7.0533185,False,1.8384045
-0.05378727,1.0,1.0,1.2271258,-0.014149214,-0.100483574,0.0051311967,0.28858927,0.8558725,-0.5551343,0.4324295,-1.4653682,0.03879513,7.0533185,1.2273468,-0.010810327,-0.111646995,0.005662306,0.34347278,1.2539122,0.44482413,0.39613056,-1.3349429,0.031847965,6.766882,False,2.0728772
0.011953216,1.0,1.0,1.2273468,-0.010810327,-0.111646995,0.005662306,0.34347278,1.2539122,0.44482413,0.39613056,-1.3349429,0.031847965,6.766882,1.2348992,-0.007389207,-0.12111846,0.0051457486,0.39718816,1.5276402,1.1570921,0.44962355,-1.1381187,-0.087647356,6.727245,False,2.451163
0.07851501,1.0,1.0,1.2348992,-0.007389207,-0.12111846,0.0051457486,0.39718816,1.5276402,1.1570921,0.44962355,-1.1381187,-0.087647356,6.727245,1.2447622,-0.0028936006,-0.12964301,0.004488845,0.4525747,1.4876904,1.2056477,0.6293001,-1.0558374,-0.05124365,7.084959,False,2.5155492
-0.046397287,1.0,1.0,1.2447622,-0.0028936006,-0.12964301,0.004488845,0.4525747,1.4876904,1.2056477,0.6293001,-1.0558374,-0.05124365,7.084959,1.2523628,0.0021337396,-0.13959785,0.005186862,0.51175433,1.331587,0.7621376,0.6332256,-1.3056164,0.12345861,7.572602,False,2.3816664
-0.13863291,1.0,1.0,1.2523628,0.0021337396,-0.13959785,0.005186862,0.51175433,1.331587,0.7621376,0.6332256,-1.3056164,0.12345861,7.572602,1.2566779,0.0065199914,-0.1510781,0.005983972,0.57463217,1.3440506,0.46931094,0.49979326,-1.4785928,0.049839273,8.028368,False,2.3214972
-0.05808779,1.0,1.0,1.2566779,0.0065199914,-0.1510781,0.005983972,0.57463217,1.3440506,0.46931094,0.49979326,-1.4785928,0.049839273,8.028368,1.2606562,0.0105634825,-0.16240925,0.0055956617,0.64068896,1.3809973,0.5309461,0.5089634,-1.4077152,-0.06392694,8.372493,False,2.370198
-0.076553725,1.0,1.0,1.2606562,0.0105634825,-0.16240925,0.0055956617,0.64068896,1.3809973,0.5309461,0.5089634,-1.4077152,-0.06392694,8.372493,1.26492,0.014618378,-0.17414449,0.0055355206,0.7089321,1.3201909,0.50950515,0.50926614,-1.4958056,0.023198847,8.617874,False,2.3433146
-0.15080526,1.0,1.0,1.26492,0.014618378,-0.17414449,0.0055355206,0.7089321,1.3201909,0.50950515,0.50926614,-1.4958056,0.023198847,8.617874,1.2681432,0.018216325,-0.18706605,0.0060371696,0.7790523,1.2596569,0.33212498,0.41862485,-1.656564,0.05459237,8.852751,False,2.2740355
-0.036363553,1.0,1.0,1.2681432,0.018216325,-0.18706605,0.0060371696,0.7790523,1.2596569,0.33212498,0.41862485,-1.656564,0.05459237,8.852751,1.2701427,0.02208391,-0.19606695,0.018429602,0.81485337,1.0367857,0.23686527,0.5237766,-0.45752338,2.1568472,1.1841437,False,2.1759
-0.6146381,0.9530683,1.0,1.2701427,0.02208391,-0.19606695,0.018429602,0.81485337,1.0367857,0.23686527,0.5237766,-0.45752338,2.1568472,1.1841437,1.2735468,0.022549877,-0.19287442,0.022863023,0.80574906,-0.501644,0.5744848,-0.21438672,0.88171506,-0.79791474,-1.6683315,False,1.1213078
