Action_0,Old0,Old1,Old2,Observation_0,Observation_1,Observation_2,Done,Reward
-7.324245,-0.16335988,0.98656654,0.3890257,-0.20409861,0.9789503,0.82895064,False,-3.028983
-4.4066486,-0.20409861,0.9789503,0.82895064,-0.26547927,0.9641166,1.2631633,False,-3.228097
-5.9362507,-0.26547927,0.9641166,1.2631633,-0.3457271,0.9383351,1.6862507,False,-3.5473084
-2.1801624,-0.3457271,0.9383351,1.6862507,-0.4417189,0.8971535,2.090002,False,-3.9893882
-1.9708087,-0.4417189,0.8971535,2.090002,-0.54875654,0.83598226,2.4672458,False,-4.554737
-5.4738817,-0.54875654,0.83598226,2.4672458,-0.6598264,0.7514181,2.7942326,False,-5.2424254
-6.305851,-0.6598264,0.7514181,2.7942326,-0.76656663,0.6421648,3.0577962,False,-6.0352144
-4.0871863,-0.76656663,0.6421648,3.0577962,-0.8600912,0.5101403,3.23942,False,-6.913486
-2.3409786,-0.8600912,0.5101403,3.23942,-0.93259954,0.36091295,3.322025,False,-7.8458962
-3.5718632,-0.93259954,0.36091295,3.322025,-0.97914004,0.2031865,3.2927098,False,-8.793486
-0.23185886,-0.97914004,0.2031865,3.2927098,-0.9994188,0.034088597,3.4103208,False,-9.710108
1.7625333,-0.9994188,0.034088597,3.4103208,-0.98863345,-0.15034586,3.7002673,False,-10.822676
0.06956816,-0.98863345,-0.15034586,3.7002673,-0.9457779,-0.3248141,3.597943,False,-10.313338
3.3951979,-0.9457779,-0.3248141,3.597943,-0.87101495,-0.4912565,3.6543324,False,-9.198992
1.4922647,-0.87101495,-0.4912565,3.6543324,-0.77187055,-0.6357798,3.5097299,False,-8.244347
5.560466,-0.77187055,-0.6357798,3.5097299,-0.65571797,-0.75500596,3.332895,False,-7.250942
4.8982573,-0.65571797,-0.75500596,3.332895,-0.5327112,-0.8462971,3.0666406,False,-6.340295
4.6647806,-0.5327112,-0.8462971,3.0666406,-0.41250774,-0.9109541,2.7319179,False,-5.492399
5.5569477,-0.41250774,-0.9109541,2.7319179,-0.3029344,-0.9530114,2.3487022,False,-4.7343597
6.8208103,-0.3029344,-0.9530114,2.3487022,-0.20950912,-0.9778067,1.9339436,False,-4.0846543
5.378416,-0.20950912,-0.9778067,1.9339436,-0.13562427,-0.9907603,1.5005887,False,-3.5530715
3.3992362,-0.13562427,-0.9907603,1.5005887,-0.083071694,-0.9965436,1.0575185,False,-3.1424787
4.2840796,-0.083071694,-0.9965436,1.0575185,-0.052637547,-0.99861366,0.61011076,False,-2.8514323
5.3143177,-0.052637547,-0.99861366,0.61011076,-0.0445895,-0.9990054,0.16115049,False,-2.6768398
4.2060246,-0.0445895,-0.9990054,0.16115049,-0.0589753,-0.9982594,-0.28810355,False,-2.6161158
7.2127914,-0.0589753,-0.9982594,-0.28810355,-0.095702805,-0.99540997,-0.7367981,False,-2.6685672
3.6411147,-0.095702805,-0.99540997,-0.7367981,-0.15439725,-0.98800886,-1.1833556,False,-2.8359969
3.1232476,-0.15439725,-0.98800886,-1.1833556,-0.23404445,-0.9722259,-1.6243622,False,-3.1224673
3.7991767,-0.23404445,-0.9722259,-1.6243622,-0.33246118,-0.94311696,-2.0535316,False,-3.5332193
3.165187,-0.33246118,-0.94311696,-2.0535316,-0.44569954,-0.8951826,-2.4608693,False,-4.072685
4.5823,-0.44569954,-0.8951826,-2.4608693,-0.56758416,-0.82331544,-2.8322563,False,-4.74167
6.9707355,-0.56758416,-0.82331544,-2.8322563,-0.6896863,-0.72410834,-3.1497428,False,-5.534032
6.5460844,-0.6896863,-0.72410834,-3.1497428,-0.80203646,-0.59727514,-3.3928242,False,-6.433623
6.0055213,-0.80203646,-0.59727514,-3.3928242,-0.89468974,-0.44668815,-3.5407805,False,-7.412596
6.5907125,-0.89468974,-0.44668815,-3.5407805,-0.9598665,-0.2804572,-3.5757966,False,-8.432251
2.2930791,-0.9598665,-0.2804572,-3.5757966,-0.9939601,-0.10974203,-3.4861395,False,-9.446923
-0.23683059,-0.9939601,-0.10974203,-3.4861395,-0.9975345,0.0701772,-3.6039705,False,-10.40615
-0.6958769,-0.9975345,0.0701772,-3.6039705,-0.9681606,0.25032982,-3.6557193,False,-10.732585
-0.87073845,-0.9681606,0.25032982,-3.6557193,-0.90773195,0.4195506,-3.5985827,False,-9.681035
-3.7990556,-0.90773195,0.4195506,-3.5985827,-0.8184167,0.5746252,-3.5839198,False,-8.635722
-4.4442487,-0.8184167,0.5746252,-3.5839198,-0.7075342,0.70667917,-3.452951,False,-7.6865497
-2.7038667,-0.7075342,0.70667917,-3.452951,-0.58498025,0.81104755,-3.2229416,False,-6.7507906
-5.59543,-0.58498025,0.81104755,-3.2229416,-0.46100092,0.8873997,-2.914656,False,-5.8636246
-3.2334704,-0.46100092,0.8873997,-2.914656,-0.34446368,0.9387997,-2.5491061,False,-5.0556917
-3.525433,-0.34446368,0.9387997,-2.5491061,-0.2419908,0.97027856,-2.1450064,False,-4.349661
-2.5591712,-0.2419908,0.97027856,-2.1450064,-0.15788874,0.9874569,-1.7172976,False,-3.759105
-4.818343,-0.15788874,0.9874569,-1.7172976,-0.09457539,0.99551773,-1.2767049,False,-3.289557
-4.9437065,-0.09457539,0.99551773,-1.2767049,-0.05318853,0.9985845,-0.83006656,False,-2.9409318
-4.671354,-0.05318853,0.9985845,-0.83006656,-0.03415056,0.9994167,-0.3811282,False,-2.710309
-5.620345,-0.03415056,0.9994167,-0.3811282,-0.037570022,0.999294,0.06843436,False,-2.5944016
-4.5606465,-0.037570022,0.999294,0.06843436,-0.06343149,0.9979862,0.5179049,False,-2.5913393
-5.549141,-0.06343149,0.9979862,0.5179049,-0.11156108,0.9937576,0.96639454,False,-2.7016623
-7.3039675,-0.11156108,0.9937576,0.96639454,-0.18137003,0.98341495,1.4117128,False,-2.9285018
-4.5583925,-0.18137003,0.98341495,1.4117128,-0.27139595,0.9624678,1.849274,False,-3.2769194
-2.5561535,-0.27139595,0.9624678,1.849274,-0.3787075,0.9255164,2.2711248,False,-3.7523663
-4.711728,-0.3787075,0.9255164,2.2711248,-0.49832213,0.866992,2.6652622,False,-4.358249
-3.2680235,-0.49832213,0.866992,2.6652622,-0.622895,0.7823055,3.0155063,False,-5.092747
-4.147151,-0.622895,0.7823055,3.0155063,-0.74300534,0.66928554,3.3022354,False,-5.9454265
-6.798037,-0.74300534,0.66928554,3.3022354,-0.84829634,0.5295218,3.5041995,False,-6.8946066
-2.298317,-0.84829634,0.5295218,3.5041995,-0.9294158,0.3690342,3.6013408,False,-7.906703
0.19720352,-0.9294158,0.3690342,3.6013408,-0.98337764,0.18157212,3.907697,False,-8.934616
0.45865902,-0.98337764,0.18157212,3.907697,-0.9997344,-0.023046685,4.1126747,False,-10.282947
-0.9308406,-0.9997344,-0.023046685,4.1126747,-0.97571445,-0.21904634,3.9557636,False,-11.417592
2.6646478,-0.97571445,-0.21904634,3.9557636,-0.91086924,-0.41269502,4.091479,False,-10.09962
2.5490916,-0.91086924,-0.41269502,4.091479,-0.8083168,-0.5887478,4.0819573,False,-9.055664
4.3354053,-0.8083168,-0.5887478,4.0819573,-0.6774333,-0.7355842,3.9403965,False,-7.9808054
3.729816,-0.6774333,-0.7355842,3.9403965,-0.53104395,-0.8473443,3.6887083,False,-6.916195
6.1072288,-0.53104395,-0.8473443,3.6887083,-0.38219628,-0.92408115,3.3532002,False,-5.9042363
3.4868593,-0.38219628,-0.92408115,3.3532002,-0.24174611,-0.97033954,2.9601393,False,-4.9816394
6.990677,-0.24174611,-0.97033954,2.9601393,-0.11727509,-0.99309945,2.5323846,False,-4.174329
1.9847512,-0.11727509,-0.99309945,2.5323846,-0.01328142,-0.9999118,2.0852728,False,-3.4957361
5.1248803,-0.01328142,-0.9999118,2.0852728,0.06843175,-0.9976558,1.635339,False,-2.9481394
4.677786,0.06843175,-0.9976558,1.635339,0.12749213,-0.9918396,1.1870972,False,-2.5283716
3.517821,0.12749213,-0.9918396,1.1870972,0.16425325,-0.9864182,0.74321747,False,-2.2270424
4.0998726,0.16425325,-0.9864182,0.74321747,0.17919783,-0.98381305,0.3034038,False,-2.0354977
6.112004,0.17919783,-0.98381305,0.3034038,0.17257974,-0.98499554,-0.13445598,False,-1.9470439
5.375404,0.17257974,-0.98499554,-0.13445598,0.14428246,-0.9895365,-0.5732026,False,-1.958391
7.831026,0.14428246,-0.9895365,-0.5732026,0.09388145,-0.99558336,-1.015355,False,-2.0703564
3.8487058,0.09388145,-0.99558336,-1.015355,0.020916378,-0.99978125,-1.4620426,False,-2.287963
-0.6073103,0.020916378,-0.99978125,-1.4620426,-0.094091244,-0.99556357,-2.3029752,False,-2.6162486
