Action_0,Old0,Old1,Old2,Old3,Observation_0,Observation_1,Observation_2,Observation_3,Done,Reward
0,-0.02202109,0.046018604,0.017820384,0.038852002,-0.021100719,-0.1493543,0.018597424,0.33710372,False,1.0
1,-0.021100719,-0.1493543,0.018597424,0.33710372,-0.024087805,0.045498133,0.0253395,0.050342947,False,1.0
0,-0.024087805,0.045498133,0.0253395,0.050342947,-0.023177844,-0.14997782,0.026346358,0.35091174,False,1.0
1,-0.023177844,-0.14997782,0.026346358,0.35091174,-0.026177399,0.04475972,0.033364594,0.06665176,False,1.0
1,-0.026177399,0.04475972,0.033364594,0.06665176,-0.025282204,0.23938783,0.03469763,-0.21532056,False,1.0
1,-0.025282204,0.23938783,0.03469763,-0.21532056,-0.020494448,0.43399698,0.030391218,-0.4968595,False,1.0
0,-0.020494448,0.43399698,0.030391218,-0.4968595,-0.011814509,0.23845999,0.020454029,-0.1947558,False,1.0
1,-0.011814509,0.23845999,0.020454029,-0.1947558,-0.007045309,0.43328348,0.016558914,-0.4809168,False,1.0
0,-0.007045309,0.43328348,0.016558914,-0.4809168,0.0016203607,0.23793177,0.006940578,-0.1830613,False,1.0
0,0.0016203607,0.23793177,0.006940578,-0.1830613,0.006378996,0.042711213,0.003279352,0.111802995,False,1.0
1,0.006378996,0.042711213,0.003279352,0.111802995,0.0072332206,0.23778601,0.005515412,-0.17984349,False,1.0
0,0.0072332206,0.23778601,0.005515412,-0.17984349,0.011988941,0.042585567,0.0019185424,0.114574224,False,1.0
0,0.011988941,0.042585567,0.0019185424,0.114574224,0.012840652,-0.15256381,0.004210027,0.4078618,False,1.0
1,0.012840652,-0.15256381,0.004210027,0.4078618,0.009789376,0.04249817,0.0123672625,0.11650917,False,1.0
1,0.009789376,0.04249817,0.0123672625,0.11650917,0.010639339,0.23744075,0.014697446,-0.17224646,False,1.0
0,0.010639339,0.23744075,0.014697446,-0.17224646,0.0153881535,0.04211156,0.011252517,0.12503654,False,1.0
0,0.0153881535,0.04211156,0.011252517,0.12503654,0.016230384,-0.15316977,0.013753247,0.42124817,False,1.0
1,0.016230384,-0.15316977,0.013753247,0.42124817,0.013166988,0.041754648,0.02217821,0.1329326,False,1.0
1,0.013166988,0.041754648,0.02217821,0.1329326,0.014002081,0.236552,0.024836862,-0.15267172,False,1.0
1,0.014002081,0.236552,0.024836862,-0.15267172,0.018733121,0.43130964,0.021783428,-0.4374168,False,1.0
1,0.018733121,0.43130964,0.021783428,-0.4374168,0.027359314,0.6261166,0.0130350925,-0.72315407,False,1.0
0,0.027359314,0.6261166,0.0130350925,-0.72315407,0.039881647,0.43081677,-0.0014279885,-0.42639711,False,1.0
0,0.039881647,0.43081677,-0.0014279885,-0.42639711,0.048497982,0.23571509,-0.0099559305,-0.13416475,False,1.0
0,0.048497982,0.23571509,-0.0099559305,-0.13416475,0.053212285,0.040737167,-0.012639225,0.15536064,False,1.0
0,0.053212285,0.040737167,-0.012639225,0.15536064,0.05402703,-0.15420155,-0.009532013,0.4440295,False,1.0
1,0.05402703,-0.15420155,-0.009532013,0.4440295,0.050943,0.04105395,-0.0006514229,0.14835721,False,1.0
1,0.050943,0.04105395,-0.0006514229,0.14835721,0.05176408,0.23618521,0.0023157212,-0.1445311,False,1.0
0,0.05176408,0.23618521,0.0023157212,-0.1445311,0.056487784,0.041030183,-0.00057490077,0.14888144,False,1.0
0,0.056487784,0.041030183,-0.00057490077,0.14888144,0.057308387,-0.15408354,0.002402728,0.44138288,False,1.0
1,0.057308387,-0.15408354,0.002402728,0.44138288,0.054226715,0.041004315,0.011230385,0.14945838,False,1.0
1,0.054226715,0.041004315,0.011230385,0.14945838,0.0550468,0.23596367,0.014219552,-0.1396605,False,1.0
1,0.0550468,0.23596367,0.014219552,-0.1396605,0.059766073,0.43087912,0.011426343,-0.42782366,False,1.0
