Action_0,Action_1,Action_2,Old0,Old1,Old2,Old3,Old4,Old5,Old6,Old7,Old8,Old9,Old10,Observation_0,Observation_1,Observation_2,Observation_3,Observation_4,Observation_5,Observation_6,Observation_7,Observation_8,Observation_9,Observation_10,Done,Reward
-0.32794884,-1.0,-0.9136164,1.2463001,-0.002011546,-0.0023263227,0.0018533813,0.0040372442,-3.1331554e-05,0.0007989574,0.0032180417,7.087458e-05,0.0023345253,0.0023700343,1.2459333,-0.004497003,0.00025717492,-0.004511721,-0.0017215543,-0.20496911,-0.07095207,-0.503252,0.4126301,-1.1503282,-1.1529891,False,0.8902738
-0.23706794,-1.0,1.0,1.2459333,-0.004497003,0.00025717492,-0.004511721,-0.0017215543,-0.20496911,-0.07095207,-0.503252,0.4126301,-1.1503282,-1.1529891,1.2451091,-0.011980404,0.0021950745,-0.02973766,0.0109666325,-0.2812249,-0.1270926,-1.232558,0.04894591,-4.094353,2.9335887,False,0.694076
-0.4258848,-0.1308002,-0.91210425,1.2451091,-0.011980404,0.0021950745,-0.02973766,0.0109666325,-0.2812249,-0.1270926,-1.232558,0.04894591,-4.094353,2.9335887,1.2435001,-0.024809584,-0.0047361446,-0.047061898,0.014566755,0.08198865,-0.24689889,-1.7323197,-1.2289157,-1.3035519,-0.7572172,False,0.980861
0.28511676,1.0,0.071484506,1.2435001,-0.024809584,-0.0047361446,-0.047061898,0.014566755,0.08198865,-0.24689889,-1.7323197,-1.2289157,-1.3035519,-0.7572172,1.2413001,-0.0340277,-0.015811924,-0.045637444,0.0039297664,-0.057873398,-0.2833305,-0.8144199,-1.4428695,0.95102537,-1.5841758,False,1.002503
-0.2187027,-0.16189155,0.0736466,1.2413001,-0.0340277,-0.015811924,-0.045637444,0.0039297664,-0.057873398,-0.2833305,-0.8144199,-1.4428695,0.95102537,-1.5841758,1.238819,-0.04043658,-0.026238093,-0.042665552,-0.003491014,-0.09608525,-0.3363654,-0.8072327,-1.2237031,0.100939184,-0.64163303,False,0.88786864
-1.0,-1.0,-1.0,1.238819,-0.04043658,-0.026238093,-0.042665552,-0.003491014,-0.09608525,-0.3363654,-0.8072327,-1.2237031,0.100939184,-0.64163303,1.2356352,-0.052922633,-0.04043559,-0.043612737,-0.015672037,-0.024735872,-0.43538773,-1.9643911,-2.064582,-0.28442442,-1.9800574,False,0.9670848
-0.117653325,0.41552192,1.0,1.2356352,-0.052922633,-0.04043559,-0.043612737,-0.015672037,-0.024735872,-0.43538773,-1.9643911,-2.064582,-0.28442442,-1.9800574,1.2318475,-0.06646293,-0.057525977,-0.048216816,-0.017453646,0.07122713,-0.49678397,-1.5445408,-2.1803434,-0.68037117,0.6908771,False,1.0062921
0.11555925,-0.045436684,0.0023208337,1.2318475,-0.06646293,-0.057525977,-0.048216816,-0.017453646,0.07122713,-0.49678397,-1.5445408,-2.1803434,-0.68037117,0.6908771,1.2273843,-0.075533114,-0.06896454,-0.055114616,-0.013665238,0.25236088,-0.5985536,-0.91783875,-1.0573583,-0.94503516,0.3716817,False,1.2064614
0.96066165,1.0,0.70878243,1.2273843,-0.075533114,-0.06896454,-0.055114616,-0.013665238,0.25236088,-0.5985536,-0.91783875,-1.0573583,-0.94503516,0.3716817,1.2223343,-0.074373625,-0.069411784,-0.059050307,-0.0070903758,0.2867337,-0.64268965,0.7173483,0.46283817,-0.19103286,1.1221312,False,1.2740453
0.69499516,0.29399928,1.0,1.2223343,-0.074373625,-0.069411784,-0.059050307,-0.0070903758,0.2867337,-0.64268965,0.7173483,0.46283817,-0.19103286,1.1221312,1.2188512,-0.064641565,-0.059168562,-0.06656378,0.01302127,0.41508752,-0.2841069,1.4681654,1.6864675,-1.2648364,3.1949875,False,1.3495724
